year,location,Average Lowest-Cost Bronze Premium,Average Lowest-Cost Silver Premium,Average Benchmark Premium,Average Lowest-Cost Gold Premium
2019,Alabama,359,505,546,599
2019,Alaska,472,701,702,672
2019,Arizona,359,452,471,592
2019,Arkansas,320,361,378,461
2019,California,301,416,439,449
2019,Colorado,363,475,488,495
2019,Connecticut,336,448,475,574
2019,Delaware,449,660,684,672
2019,District of Columbia,316,380,393,426
2019,Florida,345,461,477,502
2019,Georgia,354,460,487,538
2019,Hawaii,361,480,493,469
2019,Idaho,294,492,498,504
2019,Illinois,367,447,478,501
2019,Indiana,316,335,339,451
2019,Iowa,467,662,762,607
2019,Kansas,398,517,552,505
2019,Kentucky,327,430,460,564
2019,Louisiana,341,419,454,523
2019,Maine,374,525,544,646
2019,Maryland,298,404,419,408
2019,Massachusetts,257,323,332,363
2019,Michigan,255,367,383,400
2019,Minnesota,271,309,326,364
2019,Mississippi,455,456,521,621
2019,Missouri,394,479,499,657
2019,Montana,379,528,561,590
2019,Nebraska,522,759,838,645
2019,Nevada,327,397,410,450
2019,New Hampshire,302,373,402,444
2019,New Jersey,284,344,352,557
2019,New Mexico,250,347,365,354
2019,New York,402,558,569,638
2019,North Carolina,417,570,618,605
2019,North Dakota,309,438,457,468
2019,Ohio,296,370,380,456
2019,Oklahoma,361,529,696,522
2019,Oregon,323,434,443,471
2019,Pennsylvania,357,462,484,495
2019,Rhode Island,215,315,336,323
2019,South Carolina,373,550,552,560
2019,South Dakota,412,541,557,632
2019,Tennessee,351,506,548,825
2019,Texas,313,422,444,496
2019,Utah,290,513,542,626
2019,Vermont,426,598,622,584
2019,Virginia,410,525,555,531
2019,Washington,343,394,406,455
2019,West Virginia,512,584,596,756
2019,Wisconsin,373,492,537,527
2019,Wyoming,577,858,865,716
2018,United States,341,456,481,526
2018,Alabama,354,516,558,583
2018,Alaska,540,699,726,779
2018,Arizona,397,487,516,629
2018,Arkansas,296,340,364,409
2018,California,287,404,430,427
2018,Colorado,389,446,470,540
2018,Connecticut,341,543,545,607
2018,Delaware,473,573,589,706
2018,District of Columbia,271,317,324,385
2018,Florida,313,450,466,479
2018,Georgia,410,470,483,587
2018,Hawaii,336,437,438,449
2018,Idaho,296,469,478,479
2018,Illinois,345,460,486,529
2018,Indiana,306,337,339,465
2018,Iowa,579,713,713,793
2018,Kansas,371,503,518,489
2018,Kentucky,313,410,422,527
2018,Louisiana,367,445,474,550
2018,Maine,379,566,588,641
2018,Maryland,321,448,487,456
2018,Massachusetts,252,307,316,378
2018,Michigan,249,358,381,393
2018,Minnesota,315,370,385,461
2018,Mississippi,464,479,519,648
2018,Missouri,389,495,529,730
2018,Montana,347,495,525,582
2018,Nebraska,568,722,767,804
2018,Nevada,329,415,432,472
2018,New Hampshire,391,457,475,524
2018,New Jersey,328,403,413,655
2018,New Mexico,271,401,414,347
2018,New York,403,492,506,581
2018,North Carolina,464,609,627,656
2018,North Dakota,299,368,377,451
2018,Ohio,278,362,371,428
2018,Oklahoma,395,535,659,664
2018,Oregon,303,406,414,439
2018,Pennsylvania,365,494,575,503
2018,Rhode Island,198,287,311,300
2018,South Carolina,365,521,520,547
2018,South Dakota,399,495,521,594
2018,Tennessee,411,597,743,914
2018,Texas,309,419,434,461
2018,Utah,303,534,550,621
2018,Vermont,422,474,505,569
2018,Virginia,398,515,535,688
2018,Washington,281,326,336,400
2018,West Virginia,468,535,545,705
2018,Wisconsin,389,532,569,576
2018,Wyoming,580,864,865,714
