"id","state","abbr","totcoll","totcoll_com_col","totcoll_white","totcollpos_p50","totcollpos_p50_com_col","totcollpos_p50_white","medcoll","medcoll_com_col","medcoll_white","stddelderogofstdtot","stddelderogofstdtot_com_col","stddelderogofstdtot_white","autoretdelrate","autoretdelrate_com_col","autoretdelrate_white","carddelrate","carddelrate_com_col","carddelrate_white","carddelpos_p50","carddelpos_p50_com_col","carddelpos_p50_white","poc","household_income_avg","household_income_avg_com_col","household_income_avg_white"
"45","South Carolina","SC",0.2994905,0.4144341,0.2655513,2542,2431,2594,0.0466566,0.0638665,0.0415751,0.1963846,0.2502524,0.1783174,0.0781862,0.1118447,0.067912,0.0666723,0.0978038,0.0592764,643,557,688,0.3808609,92577.55,68940.55,104823.3
"46","South Dakota","SD",0.1552732,0.3842058,0.1454525,3010.5,2922,3020,0.0110649,0.0221828,0.0105881,0.1137953,0.2975207,0.1089604,0.0393333,0.1589242,0.0344862,0.0387717,0.0835381,0.0377444,700.5,NA,720,0.2060364,96650.13,67476.72,101767.9
"47","Tennessee","TN",0.2756412,0.4297547,0.2450253,2413,2471,2392,0.0787826,0.1211634,0.0703564,0.1519977,0.2109987,0.1349673,0.0646285,0.1252605,0.0534385,0.0590632,0.107775,0.0509444,641,534,688,0.2894441,94180.31,77619.53,99906.06
"48","Texas","TX",0.3286246,0.3705592,0.2616761,2687.5,2635,2812,0.0756867,0.0791178,0.070204,0.1825251,0.1955138,0.1606882,0.0723521,0.0828401,0.0561142,0.0669435,0.0768722,0.0533301,720,686,797,0.6125884,106548.8,89885.53,126679.2
"49","Utah","UT",0.1517067,0.2697742,0.1423845,2534.5,2309,2558,0.0227335,0.046745,0.0208331,0.1186043,0.1862917,0.1156214,0.0374384,0.0631068,0.0352662,0.039128,0.0683742,0.0370986,732,578,757,0.2545128,117752.2,103877.9,121337.7
"50","Vermont","VT",0.1445684,NA,0.144641,2079,NA,2080,0,NA,0,0.1133246,NA,0.1133246,0.0299724,NA,0.0300138,0.032765,NA,0.0328157,705,NA,705,0.1072461,105931.4,106426.5,105885.8
"51","Virginia","VA",0.1921138,0.2357421,0.1694449,2465,2489.5,2445.5,0.008076,0.0094551,0.0073565,0.1468081,0.1783847,0.1278664,0.0564236,0.0699294,0.049274,0.0501252,0.0615892,0.0444074,680,636,709,0.4192493,123132,109130,131268.1
"53","Washington","WA",0.1425122,0.1745928,0.1340414,3197,3061,3238,0,0,0,0.1106002,0.1346046,0.1049784,0.0378342,0.050226,0.0347656,0.0381931,0.0478059,0.0358482,774,709,807,0.3757032,129161.3,131228.4,128261.9
"54","West Virginia","WV",0.2894454,NA,0.2893887,2310,NA,2311,0.0561491,NA,0.0561484,0.1582271,NA,0.1582343,0.0665045,NA,0.0661848,0.0679444,NA,0.0679384,630,NA,630,0.1057144,76584.99,67376.47,77464.84
"55","Wisconsin","WI",0.1596757,0.4110486,0.1384073,2092,1790,2192,0.0321315,0.051513,0.0304821,0.1224056,0.2517321,0.1085339,0.0402377,0.1267575,0.033672,0.0351269,0.1002479,0.0311483,634,467,681,0.2160976,97893.77,83138.06,100872.8
"56","Wyoming","WY",0.2103724,0.5121951,0.2083125,3290,2488,3291,0.0846345,0.2195122,0.0837362,0.1594344,NA,0.1578431,0.0436339,NA,0.0421403,0.0403097,NA,0.0401756,724,NA,722.5,0.1873481,93303.61,80172.71,95460.84
